Feature,Pearson_r,CI_lower,CI_upper,p_value,Spearman_rho,Significant
energy_score,-0.1559112662825195,-0.6274537761546055,0.3399409191371526,0.5273,-0.18914751414894274,No
aggression_score,-0.1418486974165994,-0.5739215832964466,0.32386778258547755,0.5674,-0.08935268689846661,No
cliche_score,-0.2007641840704432,-0.6274940685183338,0.438636916428076,0.4253,-0.03083193066056667,No
complexity_score,0.47008260381148165,0.10623345042400142,0.7872664443857325,0.0477,0.5545802308703388,Yes
